,Car_Name,Car_Price,Car_Engine_Capacity,Car_Mileage
1521,Kia Carens Prestige Plus Diesel (Diesel),15.60 ,1493 ,
1522,Kia Carens Prestige Plus DCT (Petrol),15.85 ,1482 ,
1523,Kia Carens Prestige Plus Opt DCT (Petrol),16.31 ,1482 ,
1524,Kia Carens Luxury iMT (Petrol),16.72 ,1482 ,
1525,Kia Carens Prestige Plus Opt Diesel AT (Diesel),16.81 ,1493 ,
1526,Kia Carens Luxury Opt DCT (Petrol),17.15 ,1482 ,17.9 
1527,Kia Carens Luxury Diesel (Diesel),17.25 ,1493 ,
1528,Kia Carens Luxury Diesel iMT (Diesel),17.27 ,1493 ,
1529,Kia Carens Luxury Plus iMT 6 STR (Petrol),17.77 ,1482 ,
1530,Kia Carens Luxury Plus iMT (Petrol),17.82 ,1482 ,
1531,Kia Carens Luxury Opt Diesel AT (Diesel),17.85 ,1493 ,
1532,Kia Carens Luxury Plus 6 STR Diesel (Diesel),18.17 ,1493 ,
1533,Kia Carens Luxury Plus Diesel (Diesel),18.35 ,1493 ,
1534,Kia Carens Luxury Plus Diesel iMT 6 STR (Diesel),18.37 ,1493 ,
1535,Kia Carens Luxury Plus Diesel iMT (Diesel),18.37 ,1493 ,
1536,Kia Carens Luxury Plus DCT 6 STR (Petrol),18.67 ,1482 ,
1537,Kia Carens Luxury Plus DCT (Petrol),18.94 ,1482 ,
1538,Kia Carens Luxury Plus Diesel AT 6 STR (Diesel),19.22 ,1493 ,
1539,Kia Carens Luxury Plus Diesel AT (Diesel),19.29 ,1493 ,
1540,Kia Carens X-Line DCT 6 STR (Petrol),19.44 ,1482 ,
1541,Kia Carens X-Line DCT (Petrol),19.44 ,1482 ,
1542,Kia Carens X-Line Diesel AT 6 STR (Diesel),19.94 ,1493 ,
1543,Audi Q8 Sportback e-tron 50 Quattro (Electric),,,
1544,Audi Q8 Sportback e-tron 55 Quattro (Electric),,,
1545,Hyundai IONIQ 5 Long Range RWD (Electric),46.05 ,,
1546,Hyundai i20 N-Line N6 (Petrol),,998 ,
1547,Hyundai i20 N-Line N6 Dual Tone (Petrol),10.19 ,998 ,
1548,Hyundai i20 N-Line N6 DCT (Petrol),11.15 ,998 ,
1549,Hyundai i20 N-Line N8 (Petrol),11.27 ,998 ,
1550,Hyundai i20 N-Line N6 DCT Dual Tone (Petrol),11.30 ,998 ,
1551,Hyundai i20 N-Line N8 Dual Tone (Petrol),11.42 ,998 ,
1552,Hyundai i20 N-Line N8 DCT (Petrol),12.37 ,998 ,
1553,Hyundai i20 N-Line N8 DCT Dual Tone (Petrol),12.52 ,998 ,
1554,Maruti Swift Dzire Tour S (O) (Petrol),6.51 ,1197 ,23.15 
1555,Maruti Swift Dzire Tour S CNG (O) (CNG),7.46 ,1197 ,
1556,Mercedes-Benz AMG S 63 E Performance (Petrol),,3982 ,
1557,Mercedes-Benz AMG S 63 E Performance Edition 1 (Petrol),,3982 ,
1558,Force Gurkha 5 Door Diesel (Diesel),,2596 ,
1559,Audi S5 Sportback 3.0L TFSI (Petrol),77.32 ,2994 ,8.8 
1560,Audi S5 Sportback Platinum Edition (Petrol),83.15 ,2994 ,7.6 
1561,Toyota Innova Hycross GX 7STR (Petrol),19.77 ,1987 ,16.13 
1562,Toyota Innova Hycross GX 8STR (Petrol),19.82 ,1987 ,16.13 
1563,Toyota Innova Hycross GX (O) 8STR (Petrol),20.99 ,1987 ,16.13 
1564,Toyota Innova Hycross GX (O) 7STR (Petrol),21.13 ,1987 ,16.13 
1565,Toyota Innova Hycross VX 7STR Hybrid (Petrol),25.97 ,1987 ,23.24 
1566,Toyota Innova Hycross VX 8STR Hybrid (Petrol),26.02 ,1987 ,23.23 
1567,Toyota Innova Hycross VX(O) 7STR Hybrid (Petrol),27.94 ,1987 ,23.24 
1568,Toyota Innova Hycross VX(O) 8STR Hybrid (Petrol),27.99 ,1987 ,23.23 
1569,Toyota Innova Hycross ZX Hybrid (Petrol),30.34 ,1987 ,23.24 
1570,Toyota Innova Hycross ZX(O) Hybrid (Petrol),30.98 ,1987 ,23.24 
1571,Audi Q8 e-tron 50 Quattro (Electric),,,
1572,Audi Q8 e-tron 55 Quattro (Electric),,,
1573,Mercedes-Benz AMG GLA 35 4MATIC (Petrol),58.50 ,1991 ,
1574,Maruti Super Carry Cab Chassis (Petrol),5.16 ,1196 ,
1575,Maruti Super Carry STD (Petrol),5.30 ,1196 ,
1576,Maruti Super Carry STD CNG (CNG),6.30 ,1196 ,
1577,Mercedes-Benz AMG GT 4 Door Coupe 63 S E Performance (Petrol),,3982 ,
1578,Audi RS Q8 4.0 TFSI Quattro (Petrol),,3998 ,8.26 
1579,Maruti Eeco Cargo STD (Petrol),5.42 ,1197 ,20.2 
1580,Maruti Eeco Cargo STD CNG (CNG),6.32 ,1197 ,
1581,Maruti Eeco Cargo STD AC CNG (CNG),6.74 ,1197 ,
1582,Mercedes-Benz AMG E 53 Cabriolet 4MATIC Plus (Petrol),,2998 ,
1583,Mercedes-Benz AMG GT 4 Door Coupe 63 S E Performance (Petrol),,3982 ,
1584,Toyota Innova Hycross GX 7STR (Petrol),19.77 ,1987 ,16.13 
1585,Toyota Innova Hycross GX 8STR (Petrol),19.82 ,1987 ,16.13 
1586,Toyota Innova Hycross GX (O) 8STR (Petrol),20.99 ,1987 ,16.13 
1587,Toyota Innova Hycross GX (O) 7STR (Petrol),21.13 ,1987 ,16.13 
1588,Toyota Innova Hycross VX 7STR Hybrid (Petrol),25.97 ,1987 ,23.24 
1589,Toyota Innova Hycross VX 8STR Hybrid (Petrol),26.02 ,1987 ,23.23 
1590,Toyota Innova Hycross VX(O) 7STR Hybrid (Petrol),27.94 ,1987 ,23.24 
1591,Toyota Innova Hycross VX(O) 8STR Hybrid (Petrol),27.99 ,1987 ,23.23 
1592,Toyota Innova Hycross ZX Hybrid (Petrol),30.34 ,1987 ,23.24 
1593,Toyota Innova Hycross ZX(O) Hybrid (Petrol),30.98 ,1987 ,23.24 
1594,Hyundai IONIQ 5 Long Range RWD (Electric),46.05 ,,
1595,Aston Martin Vantage V8 (Petrol),,3998 ,
1596,Maruti Swift Dzire Tour S (O) (Petrol),6.51 ,1197 ,23.15 
1597,Maruti Swift Dzire Tour S CNG (O) (CNG),7.46 ,1197 ,
1598,Hyundai i20 N-Line N6 (Petrol),,998 ,
1599,Hyundai i20 N-Line N6 Dual Tone (Petrol),10.19 ,998 ,
1600,Hyundai i20 N-Line N6 DCT (Petrol),11.15 ,998 ,
1601,Hyundai i20 N-Line N8 (Petrol),11.27 ,998 ,
1602,Hyundai i20 N-Line N6 DCT Dual Tone (Petrol),11.30 ,998 ,
1603,Hyundai i20 N-Line N8 Dual Tone (Petrol),11.42 ,998 ,
1604,Hyundai i20 N-Line N8 DCT (Petrol),12.37 ,998 ,
1605,Hyundai i20 N-Line N8 DCT Dual Tone (Petrol),12.52 ,998 ,
1606,Audi Q8 Sportback e-tron 50 Quattro (Electric),,,
1607,Audi Q8 Sportback e-tron 55 Quattro (Electric),,,
1608,Force Gurkha 5 Door Diesel (Diesel),,2596 ,
1609,Audi A8 L Celebration (Petrol),,2995 ,
1610,Audi A8 L Technology (Petrol),,2995 ,
1611,Audi Q3 Sportback 40TFSI Quattro (Petrol),54.76 ,1984 ,
1612,Audi Q3 Sportback Bold Edition (Petrol),55.71 ,1984 ,
